Periodo,Bias,Indice industria geral,Indice industria de Transformacao,Indice servicos (total),Indice de Exportacao,Indice de Importacao,IBOVESPA (pontos),Consumo do governo,Consumo das familias,Indice industrias extrativas
1995Q4,1,100,100,100,100,100,4268.6,100,100,100
1996Q1,1,93.19,89.57,98.31,95.16,82.07,5021.37,96.11745062,96.06237943,100.376127
1996Q2,1,97.9,96.06,100.58,104.64,98.2,5645.27,100.068259,99.75164887,99.9342916
1996Q3,1,111.62,115.21,105.75,106.67,114.44,6276.47,104.9980794,104.7409566,101.4713903
1996Q4,1,101.19,99.48,104.55,91.85,127.67,6746.33,91.51325274,112.3913383,107.9704211
1997Q1,1,96.25,92.02,100.2,94.7,104.68,5899.23,99.11211539,100.3964156,97.08354534
1997Q2,1,105.77,104.88,102.85,119.64,121.6,11297.67,101.1225315,102.4137813,101.1068824
1997Q3,1,111.85,109.88,107.1,125.34,132.62,11759.33,100.8376743,103.5455004,110.1534192
1997Q4,1,107.7,103.53,109.43,102.54,125.13,9525.33,103.9134102,105.7761982,111.6472813
1998Q1,1,96.31,88.11,101.6,104.57,112.9,10745.33,99.08781236,96.95242832,99.57283511
1998Q2,1,105.47,101.19,104.76,125.39,118.86,10400.33,102.1347848,98.32582132,101.0939553
1998Q3,1,108.83,104.56,109.02,125.17,129.85,7923.67,104.9506886,100.5298408,106.7855924
1998Q4,1,102.15,96.58,110.15,108.79,122.14,7487,106.7137811,101.3118549,107.0138481
1999Q1,1,92.23,84.37,104.41,104.47,92.73,9259,96.67409967,96.74113736,95.01489343
1999Q2,1,100.81,97.05,106.51,124.12,101.07,11355,99.92624795,98.43753117,90.25885083
1999Q3,1,105,101.34,109.99,129.29,105.48,10703.67,102.7803733,101.138253,96.78107685
1999Q4,1,103.95,100.4,112.37,132.51,111.45,14189.67,107.3721043,105.1961087,100.4957282
2000Q1,1,96.45,89.91,107.68,126.08,96.52,17289.33,98.44844023,99.28179766,98.72108319
2000Q2,1,104.78,102.2,110.04,138,108.46,15740,99.55842088,102.2264498,100.4554151
2000Q3,1,109.67,107.1,114.74,153.32,124.19,16576,98.72322131,105.5416883,112.733894
2000Q4,1,108.83,105.76,117.48,136.06,125.92,14471,102.6648495,109.0805938,124.4412705
2001Q1,1,100.42,94.24,110.29,140.18,119.95,16000.33,99.66485047,99.27388074,98.58917725
2001Q2,1,105.23,102.97,113.54,157.08,122.37,14708.33,101.9481687,101.3015275,100.0136196
2001Q3,1,106.79,106.93,116.73,157.94,117.73,12409.67,102.332252,99.59840493,108.6338547
2001Q4,1,104.59,103.72,118.66,149.34,110.19,12601.33,106.5184213,102.9114131,114.3697154
2002Q1,1,98.08,92.07,113.53,133.77,97.66,13336,101.270658,98.74861378,106.5269313
2002Q2,1,107.66,103.65,116.37,139.69,102.14,12361.67,103.4446418,101.2251661,114.6098903
2002Q3,1,112.93,110.06,120.69,189.75,107.59,9588.67,103.8916506,101.5154973,119.3737527
2002Q4,1,114.21,110.61,122.97,180.49,100.28,10647.67,106.6583441,103.786111,120.4237366
2003Q1,1,98.15,89.66,115.61,153.39,93.13,10831.33,96.81583819,97.44636364,95.09674061
2003Q2,1,105.52,105.8,117.4,177.97,97.94,12983,99.89460173,97.86970164,97.44450655
2003Q3,1,115.09,118.54,121.26,192.73,103.62,14918.33,102.0815236,99.46085808,106.2094134
2003Q4,1,114.59,113.47,123.99,190.52,111.01,20133.67,107.5942867,103.0391055,119.5803942
2004Q1,1,105.39,102.38,119.45,181.37,102.7,21916,98.7723206,98.86955008,92.96229341
2004Q2,1,114.92,114.16,123.94,201.17,109.95,20099.67,104.6767169,101.4658851,96.90071292
2004Q3,1,125.25,126.03,127.59,219.15,117.07,22794.67,104.8167913,104.8943892,103.3301137
2004Q4,1,123.38,123.72,131.24,216.35,118.02,24792,107.23832,110.464152,104.9295077
2005Q1,1,109.82,107.01,124.87,199.3,111.86,26366.33,98.61349551,100.1964779,95.20122406
2005Q2,1,120.94,121.15,129.18,223.56,119.1,25033.67,101.364116,102.3132303,108.8132467
2005Q3,1,123.86,124.74,132.1,243.05,126.11,28556.33,102.6361972,105.3605613,110.8223033
2005Q4,1,123.68,123.86,134.46,231.03,124.08,31854.67,105.4299556,109.8172378,112.3917732
2006Q1,1,113.45,109.69,130.62,216.22,128.41,38314.33,99.53706123,100.681865,101.3375327
2006Q2,1,118.69,117.6,134.21,219.7,134.68,37841,101.7340556,103.6593154,103.2930944
2006Q3,1,127.01,126.82,137.86,261.66,151.72,36586,103.1956497,106.2372047,109.2711628
2006Q4,1,128.74,128.52,140.46,242.74,151.81,41888.67,109.7764325,110.5604133,112.1964395
2007Q1,1,118.14,113.08,138.04,228.19,153.26,44779,100.2857397,101.7066921,99.62087962
2007Q2,1,129.07,127.6,142.25,247.91,158.36,51872,104.7219745,104.5338684,102.863178
2007Q3,1,135.84,136.37,145.27,264.74,181.12,56428,104.502966,106.7493119,104.4323208
2007Q4,1,135.12,135.21,149.24,257.56,184.69,64069.67,106.7659058,112.5152097,104.6452864
2008Q1,1,126.58,123.83,145.34,224.18,176.97,61315.67,99.22966066,102.4545637,100.5675197
2008Q2,1,135.83,135.84,150.48,262.52,195.71,68492.33,101.0900964,105.180797,105.1106016
2008Q3,1,145.04,145.75,154.29,273.57,219.98,54908.67,104.3676469,108.7380023,109.2519756
2008Q4,1,131.97,128.12,152.43,242.22,200.11,37133.67,103.4927573,109.4836971,101.5245178
2009Q1,1,112.91,103.72,146.77,192.54,154.04,39469.67,100.333681,98.42435744,91.16611496
2009Q2,1,125.01,117.49,151.51,236.47,171.07,50650.67,101.205771,102.7153436,96.33436422
2009Q3,1,136.69,130.49,156.47,247.75,194.54,57591,102.590651,106.7011678,101.1930513
2009Q4,1,139.44,132.4,160.24,233.02,212.87,65726,107.6505695,109.9847162,102.8242892
2010Q1,1,130.2,120.23,155.88,222.31,213.97,67425.33,100.3546579,101.2557414,107.4737362
2010Q2,1,141.25,131.68,160.64,253.13,232.84,63836.33,103.3646452,103.6414304,113.8155324
2010Q3,1,148.05,139.8,165.43,276.31,267.03,67363,104.4746095,107.5422981,118.3191494
2010Q4,1,146.99,136.89,168.73,264.67,265.07,69227.33,107.4887467,112.4780187,119.9432042
2011Q1,1,137.68,126.14,163.22,231.93,239.26,67514.33,99.06493614,101.4272229,97.55255783
2011Q2,1,148.49,137.45,167.63,269.77,265.98,64385,102.7352958,104.0297118,102.6112869
2011Q3,1,153.92,142.38,170.09,288.53,282.93,55880.67,102.309068,105.2438079,105.8161555
2011Q4,1,149.71,134.5,172.24,274.87,282.99,57322,104.7078852,108.5730956,107.90078
2012Q1,1,140.97,124.16,166.76,243.2,253.93,64464.33,98.95020571,99.64776286,97.14569318
2012Q2,1,143.76,129.29,171.66,265.31,271.13,56888,102.6489018,101.4504827,96.76325044
2012Q3,1,153.21,140.52,175.68,276.87,266.33,57444.33,102.0447785,104.3468932,98.53336086
2012Q4,1,147.6,133.64,178.62,282.61,287.53,58498,105.4641359,108.552664,99.79720292
2013Q1,1,138.95,124.19,171.41,231.58,271.83,57845.67,96.63044342,99.97949412,90.7396302
2013Q2,1,150.14,137,176.98,282.31,290.57,52291,101.542161,102.0579287,95.32814326
2013Q3,1,157.6,145.45,180.49,285.74,298.24,50194.33,102.2468331,104.3212843,99.73523857
2013Q4,1,151.53,136.88,182.91,293.93,296.39,52748.33,105.6210476,107.5254676,101.4509369
2014Q1,1,144.39,124.9,176.19,238.77,273.25,48382,97.11959456,100.055592,99.64354684
2014Q2,1,144.86,126.43,178.12,281.16,279.59,52011,101.2600927,100.1312772,106.1320505
2014Q3,1,152,138.02,181.2,298.58,301.08,57077.33,101.7697235,101.9365794,113.9104876
2014Q4,1,147.95,128.69,183.3,262.65,280.96,53119.67,103.1029284,106.8778284,116.5207206
2015Q1,1,138.25,117.27,174.2,248.45,258.61,49880,96.02026698,97.31641642,103.4429061
2015Q2,1,137.84,118.46,174.29,305.42,248.31,54023,98.84957643,95.86000887,105.9887246
2015Q3,1,143.27,124.43,175.03,304.81,241.32,47516,99.1490549,95.78380101,109.7089042
2015Q4,1,135.9,113.92,175.63,296.2,225.6,44779,100.2348289,98.1738028,103.6455493
2016Q1,1,128.72,105.54,168.05,280.85,203.57,44417.67,97.07315804,94.58853922,89.75626899
2016Q2,1,133.39,112.25,169.81,316.98,223.06,51302.33,100.5356031,94.14761891,94.82810496
2016Q3,1,139.27,119.79,171.43,305.39,225.02,57858.67,100.2506199,95.55897046,102.6132334
2016Q4,1,131.89,110.08,171.65,273.8,223.23,62352.33,101.9160038,98.34282799,102.1884018
2017Q1,1,127.4,104.58,165.4,285.79,223.6,65438.67,96.63626155,97.20984486,101.068344
2017Q2,1,130.79,111.26,169.51,324.86,215.97,63671,99.83031924,99.03255421,103.2605318
2017Q3,1,139.78,122.69,173.17,328.65,237.76,70349.33,99.71164537,102.1105898,107.973515
2017Q4,1,135.39,116.64,174.64,298.67,241.24,74226.67,101.5882091,105.501664,104.9069573
